log10_sigma_sub log_mc LOS_normalization shmf_log_slope log_m_host source_size_pc bic summary_statistic logL_image_data source_plane_sol seed
-1.0298826 9.4455763 1.0110417 -1.935301 13.6088769 40.9384456 1.0 0.156476 1.0 0.0038325 20384100.0
-1.7102997 8.5914933 1.0744017 -1.8680958 13.3103075 43.6884564 1.0 0.0972085 1.0 0.0177174 20384101.0
-0.7295186 4.6735968 1.0245548 -1.8666419 12.9766377 32.0446467 1.0 0.1228994 1.0 0.0036801 20384102.0
-0.6122081 7.7875292 1.093447 -1.9082688 12.7735272 22.9966019 1.0 0.3451807 1.0 0.0007489 20384103.0
-1.0422906 4.9317808 0.9815164 -1.8772917 13.5830049 22.9723362 1.0 0.0816754 1.0 0.0011948 20384104.0
-1.3799489 9.2025414 1.0148125 -1.9103854 13.4860037 30.2671141 1.0 0.2228945 1.0 0.0022666 20384105.0
-1.5036855 4.2147371 0.9780329 -1.8557636 13.548555 27.9355829 1.0 0.0366743 1.0 0.002776 20384106.0
-1.7180666 5.8263266 1.019274 -1.896555 12.954786 28.3668993 1.0 0.076193 1.0 0.0017914 20384107.0
-1.9675179 5.8412589 1.0329071 -1.9410166 13.6210304 37.0985309 1.0 0.0320112 1.0 0.002071 20384108.0
-2.1725543 9.2327386 0.9795118 -1.8774273 13.4389317 32.5910383 1.0 0.0429245 1.0 0.0016276 20384109.0
-1.2098413 8.4940672 0.9036998 -1.8777421 12.7568233 36.3198968 1.0 0.1848752 1.0 0.0013183 20384110.0
-1.9798679 8.2681493 0.9954595 -1.9385226 13.7523803 22.8492281 1.0 0.0511513 1.0 0.0028464 20384111.0
-1.2343896 7.2626502 0.9197027 -1.8529465 13.6789663 49.9480097 1.0 0.1560878 1.0 0.0014296 20384112.0
0.1922849 8.6175037 1.0741888 -1.8943824 13.542032 35.2557585 1.0 0.1474164 1.0 0.0038485 20384113.0
-0.6499582 8.9956854 1.0657813 -1.8692134 13.4987894 36.31231 1.0 0.2491985 1.0 0.0008442 20384114.0
-0.3101163 4.6342033 1.0638005 -1.8914117 13.3185493 49.7881512 1.0 0.1179065 1.0 0.0007262 20384115.0
0.1760783 8.3362243 0.9664498 -1.9449719 12.5909661 24.1933915 1.0 0.141602 1.0 0.0014661 20384116.0
-1.0934315 8.5383639 0.9315904 -1.8691699 13.3164261 36.1898151 1.0 0.2021879 1.0 0.0015684 20384117.0
-2.1069086 4.11817 0.9664511 -1.9483738 13.195135 30.8096094 1.0 0.1068681 1.0 0.0014409 20384118.0
-0.6792849 5.3732529 1.0506396 -1.9494337 13.6793237 28.7069801 1.0 0.0121308 1.0 0.0006142 20384119.0
-0.4201628 6.5208765 1.0676217 -1.8887653 13.3294465 43.6786124 1.0 0.1323711 1.0 0.0014672 20384120.0
-1.4337834 8.8602059 1.057266 -1.8853228 14.0285208 45.4410229 1.0 0.1162256 1.0 0.0009647 20384121.0
-1.7539336 4.7635386 1.0080157 -1.8839917 12.9929787 28.6448832 1.0 0.1114594 1.0 0.0007705 20384122.0
0.0972077 9.1964401 1.0423305 -1.9135219 13.6333376 45.9865282 1.0 0.1098363 1.0 0.0011292 20384123.0
-1.4729934 5.738397 1.0458818 -1.9080299 13.4846395 24.6686965 1.0 0.2024592 1.0 0.0005969 20384124.0
-1.206159 5.8746092 0.9107523 -1.9122889 13.2280656 43.3823957 1.0 0.2512494 1.0 0.001159 20384125.0
-1.7539461 7.0267149 1.034363 -1.9095489 13.0554406 40.5094731 1.0 0.079432 1.0 0.0038424 20384126.0
-0.4333324 6.7963589 1.0789697 -1.8922743 13.1965152 38.583962 1.0 0.1106749 1.0 0.0003801 20384127.0
-1.569155 9.3184379 0.9091293 -1.9093057 13.8149071 49.1050943 1.0 0.1961381 1.0 0.0023462 20384128.0
-0.8698426 9.7541432 1.0462045 -1.8746066 13.083734 40.1502872 1.0 0.0425218 1.0 0.000868 20384129.0
-1.3807121 8.6707637 0.9101165 -1.9416766 13.6720372 20.3957502 1.0 0.1714495 1.0 0.0020341 20384130.0
-1.8765614 8.6215117 1.0623751 -1.9437442 13.4831798 20.5691226 1.0 0.2154731 1.0 0.0057703 20384131.0
-2.0730354 6.8530963 1.0602226 -1.9018419 13.1829622 35.1702983 1.0 0.0479503 1.0 0.0022591 20384132.0
