log10_sigma_sub log_mc LOS_normalization shmf_log_slope log_m_host source_size_pc bic summary_statistic logL_image_data source_plane_sol seed
-1.0298826 9.4455763 1.0110417 -1.935301 13.6088769 7.2815337 1.0 0.1563816 1.0 0.0038325 20384100.0
-1.7102997 8.5914933 1.0744017 -1.8680958 13.3103075 8.1065369 1.0 0.0972665 1.0 0.0177174 20384101.0
-0.7295186 4.6735968 1.0245548 -1.8666419 12.9766377 4.613394 1.0 0.1229389 1.0 0.0036801 20384102.0
-0.6122081 7.7875292 1.093447 -1.9082688 12.7735272 1.8989806 1.0 0.3450714 1.0 0.0007489 20384103.0
-1.0422906 4.9317808 0.9815164 -1.8772917 13.5830049 1.8917009 1.0 0.0815113 1.0 0.0011948 20384104.0
-1.3799489 9.2025414 1.0148125 -1.9103854 13.4860037 4.0801342 1.0 0.2229229 1.0 0.0022666 20384105.0
-1.5036855 4.2147371 0.9780329 -1.8557636 13.548555 3.3806749 1.0 0.036633 1.0 0.002776 20384106.0
-1.7180666 5.8263266 1.019274 -1.896555 12.954786 3.5100698 1.0 0.0752378 1.0 0.0017914 20384107.0
-1.9675179 5.8412589 1.0329071 -1.9410166 13.6210304 6.1295593 1.0 0.0319917 1.0 0.002071 20384108.0
-2.1725543 9.2327386 0.9795118 -1.8774273 13.4389317 4.7773115 1.0 0.0429834 1.0 0.0016276 20384109.0
-1.2098413 8.4940672 0.9036998 -1.8777421 12.7568233 5.895969 1.0 0.1847602 1.0 0.0013183 20384110.0
-1.9798679 8.2681493 0.9954595 -1.9385226 13.7523803 1.8547684 1.0 0.051142 1.0 0.0028464 20384111.0
-1.2343896 7.2626502 0.9197027 -1.8529465 13.6789663 9.9844029 1.0 0.1559362 1.0 0.0014296 20384112.0
0.1922849 8.6175037 1.0741888 -1.8943824 13.542032 5.5767276 1.0 0.147477 1.0 0.0038485 20384113.0
-0.6499582 8.9956854 1.0657813 -1.8692134 13.4987894 5.893693 1.0 0.2490866 1.0 0.0008442 20384114.0
-0.3101163 4.6342033 1.0638005 -1.8914117 13.3185493 9.9364453 1.0 0.1180579 1.0 0.0007262 20384115.0
0.1760783 8.3362243 0.9664498 -1.9449719 12.5909661 2.2580174 1.0 0.169436 1.0 0.0014661 20384116.0
-1.0934315 8.5383639 0.9315904 -1.8691699 13.3164261 5.8569445 1.0 0.2020785 1.0 0.0015684 20384117.0
-2.1069086 4.11817 0.9664511 -1.9483738 13.195135 4.2428828 1.0 0.1068942 1.0 0.0014409 20384118.0
-0.6792849 5.3732529 1.0506396 -1.9494337 13.6793237 3.612094 1.0 0.0094471 1.0 0.0006142 20384119.0
-0.4201628 6.5208765 1.0676217 -1.8887653 13.3294465 8.1035837 1.0 0.132423 1.0 0.0014672 20384120.0
-1.4337834 8.8602059 1.057266 -1.8853228 14.0285208 8.6323069 1.0 0.1161148 1.0 0.0009647 20384121.0
-1.7539336 4.7635386 1.0080157 -1.8839917 12.9929787 3.593465 1.0 0.1114399 1.0 0.0007705 20384122.0
0.0972077 9.1964401 1.0423305 -1.9135219 13.6333376 8.7959585 1.0 0.1097209 1.0 0.0011292 20384123.0
-1.4729934 5.738397 1.0458818 -1.9080299 13.4846395 2.400609 1.0 0.2029523 1.0 0.0005969 20384124.0
-1.206159 5.8746092 0.9107523 -1.9122889 13.2280656 8.0147187 1.0 0.2429681 1.0 0.001159 20384125.0
-1.7539461 7.0267149 1.034363 -1.9095489 13.0554406 7.1528419 1.0 0.0795146 1.0 0.0038424 20384126.0
-0.4333324 6.7963589 1.0789697 -1.8922743 13.1965152 6.5751886 1.0 0.1106381 1.0 0.0003801 20384127.0
-1.569155 9.3184379 0.9091293 -1.9093057 13.8149071 9.7315283 1.0 0.1961992 1.0 0.0023462 20384128.0
-0.8698426 9.7541432 1.0462045 -1.8746066 13.083734 7.0450862 1.0 0.0424968 1.0 0.000868 20384129.0
-1.3807121 8.6707637 0.9101165 -1.9416766 13.6720372 1.1187251 1.0 0.1714154 1.0 0.0020341 20384130.0
-1.8765614 8.6215117 1.0623751 -1.9437442 13.4831798 1.1707368 1.0 0.2154381 1.0 0.0057703 20384131.0
-2.0730354 6.8530963 1.0602226 -1.9018419 13.1829622 5.5510895 1.0 0.0479113 1.0 0.0022591 20384132.0
-1.6558392 9.6371628 0.9404992 -1.8648233 13.1830534 1.8179047 1.0 0.1088521 1.0 0.0010684 20384133.0
-1.0990923 5.7333764 0.9404063 -1.8589454 13.40513 7.8323981 1.0 0.1512917 1.0 0.0013698 20384134.0
-0.4584961 9.9564026 0.9404049 -1.9078988 13.2553546 3.9843827 1.0 0.1572418 1.0 0.0012754 20384135.0
-0.336785 5.6459886 1.0120959 -1.9109921 12.6577107 5.4785782 1.0 0.2090613 1.0 0.0015923 20384136.0
-0.977864 4.6664934 0.9971034 -1.9002853 13.0321485 3.0793254 1.0 0.1695027 1.0 0.0016401 20384137.0
-1.6503532 7.6369543 0.9691487 -1.8708855 13.7664506 1.7511672 1.0 0.3610869 1.0 0.4750953 20384138.0
-1.395598 5.2642977 1.0238189 -1.8959753 13.3024037 3.9183563 1.0 0.0870666 1.0 0.0020415 20384139.0
-0.2276459 9.6992344 1.0969383 -1.8702411 12.9362641 7.8741744 1.0 0.0843795 1.0 0.000841 20384140.0
-1.7027088 6.0713888 1.0097446 -1.9277772 13.6654717 8.3733294 1.0 0.1598056 1.0 0.001762 20384141.0
-1.1940519 4.5033283 1.0784792 -1.8726126 12.9971254 5.9358739 1.0 0.1976634 1.0 0.0006266 20384142.0
-2.1205676 5.7661843 0.9063281 -1.9046419 13.401195 7.1037047 1.0 0.0664257 1.0 0.0009214 20384143.0
-1.1052388 7.4163662 0.9272811 -1.9320706 13.063553 9.5505 1.0 0.1255815 1.0 0.0013678 20384144.0
-1.877596 7.5853466 0.9376878 -1.9102156 13.4687404 6.4540576 1.0 0.1235432 1.0 0.002221 20384145.0
-1.2033032 7.8867302 0.9504125 -1.8536762 13.1423275 4.100114 1.0 0.191602 1.0 0.0019448 20384146.0
-1.3609773 4.086534 0.9060666 -1.8697824 13.7147745 9.8090111 1.0 0.0826573 1.0 0.0023748 20384147.0
-1.0860885 7.9064492 1.0429002 -1.8795577 12.8505947 1.6745505 1.0 0.2015322 1.0 0.0013741 20384148.0
-1.7493902 8.4371786 0.9855981 -1.9170561 12.8159701 8.930006 1.0 0.0984838 1.0 0.0018878 20384149.0
-0.9567499 8.0225043 0.9030585 -1.9210643 13.1806625 4.2343909 1.0 0.2880617 1.0 0.0021531 20384150.0
-0.12665 8.684624 1.029996 -1.9162753 13.2553323 8.9765845 1.0 0.0279272 1.0 0.0010917 20384151.0
-1.4855156 7.265459 0.9631276 -1.8559995 13.3702863 6.8727962 1.0 0.0266523 1.0 0.0016429 20384152.0
-0.0648525 8.8441631 0.9970682 -1.8661991 13.1022879 7.9259277 1.0 0.0518818 1.0 0.0015352 20384153.0
-1.1840262 6.7170253 1.0000782 -1.8926799 13.3167052 1.5056929 1.0 0.18503 1.0 0.0022498 20384154.0
-0.5968334 7.6575078 0.9327042 -1.8801556 12.5495646 4.0625333 1.0 0.0509471 1.0 0.0015698 20384155.0
-0.51238 6.2218276 1.0751975 -1.8810397 13.2988221 9.4799818 1.0 0.2401713 1.0 0.0012297 20384156.0
-1.6270673 7.4054758 1.0998285 -1.8961761 13.4513955 9.9260668 1.0 0.1205495 1.0 0.0009082 20384157.0
-0.6351691 5.0968983 1.0799955 -1.905993 13.3230618 2.908185 1.0 0.1412549 1.0 0.0029558 20384158.0
-0.0253788 9.6140965 0.9446396 -1.8864025 13.3905116 8.8459434 1.0 0.2498282 1.0 0.0010489 20384159.0
0.1192331 9.0173255 0.9864782 -1.8611534 13.59528 3.9088735 1.0 0.047196 1.0 0.0005836 20384160.0
-0.3911515 7.2185969 1.0227925 -1.8571665 13.3572034 1.9195508 1.0 0.0878427 1.0 0.0005027 20384161.0
-1.2451635 6.7218119 0.9730372 -1.8608774 13.5449736 8.2375545 1.0 0.1217841 1.0 0.0007935 20384162.0
-2.0768527 7.6277825 0.9826797 -1.9235279 13.2724613 4.891312 1.0 0.1177141 1.0 0.0004794 20384163.0
